year,TeamID,opexpperpart_men,opexpperteam_men,rev_men,exp_men,opexpperpart_men
2013,1246,217242,3258635,21598680,15119088,
2013,1257,132911,2392405,42434684,15489954,
2013,1287,21744,347909,1287651,1287651,
2013,1293,28216,395022,2168160,2033196,
2013,1297,11143,211722,1147858,1110569,
2013,1443,28859,432880,2708422,2708422,
2013,1261,65631,853198,9421518,5050811,
2013,1270,15229,274130,756063,756063,
2013,1309,7570,128698,526420,368969,
2013,1322,9780,264065,1000408,1000408,
2013,1368,10469,146567,783529,783554,
2013,1380,8899,124582,689349,534595,
2013,1418,26398,422363,1616934,1616934,
2013,1164,13679,191509,794053,794053,
2013,1259,17008,238118,1898542,1898542,
2013,1420,17164,257465,1075669,1075669,
2013,1268,48172,722584,12527478,6334927,
2013,1288,26363,395451,1304576,1095298,
2013,1130,56267,900278,4997434,5620659,
2013,1131,29046,377592,1344523,2080293,
2013,1217,13365,253934,1225999,1225999,
2013,1221,12507,175098,1611702,1611702,
2013,1269,64387,901418,3245466,3245466,
2013,1318,24692,345686,2347246,2347246,
2013,1141,25090,426532,2147234,2153956,
2013,1178,25637,358918,2650574,2512082,
2013,1276,69602,1183240,9880283,5933437,
2013,1277,160739,2732555,19228130,9837886,
2013,1324,32714,490717,1389435,1389435,
2013,1444,30016,450238,1859709,1892138,
2013,1278,70512,1057674,16162135,5071500,
2013,1108,8564,94201,1127331,543044,
2013,1238,4036,76692,512950,512950,
2013,1290,26441,343730,829973,785705,
2013,1280,63377,1077415,7002963,5430979,
2013,1379,30007,420093,2048188,2048188,
2013,1281,64916,1103570,6708572,6122025,
2013,1387,4011,60158,528398,529322,
2013,1449,5322,111752,304969,299479,
2013,1286,17565,333742,1448710,1310547,
2013,1285,29344,440161,1306552,1532926,
2013,1166,34500,620991,5152031,4404350,
2013,1304,50392,907054,10703335,8361586,
2013,1424,59253,948041,9222488,3760187,
2013,1305,37296,484854,3887603,1459913,
2013,1192,8043,112597,372419,2320904,
2013,1284,12986,181806,1528983,1528983,
2013,1343,16840,286272,994108,994108,
2013,1353,85831,1459131,5342302,4366444,
2013,1389,13710,205649,1170516,1170516,
2013,1371,57810,982764,6401383,6401383,
2013,1307,50797,812753,5590733,4448245,
2013,1308,54269,868304,2534542,2534542,
2013,1159,9335,158695,1498055,1498055,
2013,1165,7341,154165,799176,799176,
2013,1233,26975,350678,1691344,1691344,
2013,1264,15557,248910,1614245,1614245,
2013,1310,23549,282585,1461436,1461436,
2013,1382,37427,523976,2039658,2060910,
2013,1373,25392,380887,2293234,2293234,
2013,1385,41083,780573,7289171,7289171,
2013,1107,25250,328252,1650415,1384377,
2013,1127,13908,222532,1262578,1214600,
2013,1138,22530,315415,1420489,1420489,
2013,1392,27237,381313,985156,1612034,
2013,1393,69135,1451839,25888761,14214993,
2013,1447,23135,323891,1389065,1396966,
2013,1111,21607,302491,1222104,1222104,
2013,1172,15378,261429,1893360,1727330,
2013,1181,163351,2123566,25665732,15901099,
2013,1205,19395,329719,1151934,1151934,
2013,1299,34628,450170,1093644,1093644,
2013,1421,11578,196830,925259,925259,
2013,1314,119577,2032808,24011268,7157618,
2013,1150,39545,593175,2559471,2559471,
2013,1422,32940,559982,1481643,1550005,
2013,1300,12791,191871,924567,924567,
2013,1301,78752,1260036,12758543,5444127,
2013,1448,44634,714139,8158064,4850811,
2013,1315,22797,364745,1047088,1028383,
2013,1295,19422,271902,1071957,1071957,
