team,year,TeamID,lookup,herop_percentot
South Dakota St. (Summit League),2012,1355,2012-1355,0.275549806
UT Arlington (Southland),2012,1426,2012-1426,0.231168831
UNLV (Mountain West),2012,1424,2012-1424,0.184415584
Charleston So. (Big South),2012,0,2012-0,0.169050715
Florida (SEC),2012,1196,2012-1196,0.21875
Massachusetts (Atlantic 10),2012,1269,2012-1269,0.214099217
Texas St. (Southland),2012,0,2012-0,0.170157068
Lehigh (Patriot),2012,1250,2012-1250,0.287401575
Temple (Atlantic 10),2012,1396,2012-1396,0.233595801
Portland St. (Big Sky),2012,1340,2012-1340,0.251315789
Marquette (AAC),2012,1266,2012-1266,0.243741765
San Francisco (WCC),2012,1362,2012-1362,0.188328912
Washington (Pac-12),2012,1449,2012-1449,0.222074468
Kansas (Big 12),2012,1242,2012-1242,0.239680426
Saint Mary's (CA) (WCC),2012,1388,2012-1388,0.208277704
Memphis (C-USA),2012,1272,2012-1272,0.244652406
Syracuse (AAC),2012,1393,2012-1393,0.174029451
Baylor (Big 12),2012,1124,2012-1124,0.174029451
Ohio St. (Big Ten),2012,1326,2012-1326,0.226541555
Murray St. (OVC),2012,1293,2012-1293,0.258760108
DePaul (AAC),2012,1177,2012-1177,0.236167341
Long Beach St. (Big West),2012,1253,2012-1253,0.22537112
Campbell (Big South),2012,0,2012-0,0.175438596
Lamar University (Southland),2012,1249,2012-1249,0.228070175
Gonzaga (WCC),2012,1211,2012-1211,0.175675676
NC State (ACC),2012,1301,2012-1301,0.192411924
Coppin St. (MEAC),2012,1164,2012-1164,0.231707317
Houston Christian (GWC),2012,0,2012-0,0.176630435
Vanderbilt (SEC),2012,1435,2012-1435,0.272108844
Longwood (Independent),2012,1255,2012-1255,0.264305177
Wagner (NEC),2012,1447,2012-1447,0.198910082
Hawaii (WAC),2012,1218,2012-1218,0.19346049
New Mexico (Mountain West),2012,1307,2012-1307,0.177111717
La Salle (Atlantic 10),2012,1247,2012-1247,0.207366985
Texas (Big 12),2012,1400,2012-1400,0.274215553
UC Santa Barbara (Big West),2012,1364,2012-1364,0.270122783
Iowa St. (Big 12),2012,1235,2012-1235,0.177595628
UTSA (Southland),2012,1427,2012-1427,0.177838577
North Dakota St. (Summit League),2012,1295,2012-1295,0.212038304
Evansville (MVC),2012,0,2012-0,0.177838577
Oral Roberts (Summit League),2012,1331,2012-1331,0.273972603
Detroit Mercy (Horizon),2012,1178,2012-1178,0.214285714
Coastal Carolina (Big South),2012,1157,2012-1157,0.229711142
Eastern Wash. (Big Sky),2012,1186,2012-1186,0.22696011
Duquesne (Atlantic 10),2012,0,2012-0,0.179063361
Buffalo (MAC),2012,1138,2012-1138,0.220385675
Tennessee Tech (OVC),2012,0,2012-0,0.179063361
IUPUI (Summit League),2012,1237,2012-1237,0.28137931
Northern Colo. (Big Sky),2012,1294,2012-1294,0.179558011
Lipscomb (ASUN),2012,1252,2012-1252,0.179806362
Akron (MAC),2012,1103,2012-1103,0.179806362
Saint Joseph's (Atlantic 10),2012,1386,2012-1386,0.228215768
Purdue (Big Ten),2012,1345,2012-1345,0.229916898
Oregon (Pac-12),2012,1332,2012-1332,0.229916898
FGCU (ASUN),2012,1195,2012-1195,0.180305132
California (Pac-12),2012,1143,2012-1143,0.21220527
Stetson (ASUN),2012,0,2012-0,0.180555556
UAlbany (America East),2012,1107,2012-1107,0.300417246
Middle Tenn. (Sun Belt),2012,1292,2012-1292,0.205841446
Southern Miss. (C-USA),2012,1379,2012-1379,0.180806676
Michigan St. (Big Ten),2012,1277,2012-1277,0.225312935
Iowa (Big Ten),2012,1234,2012-1234,0.221448468
Arkansas (SEC),2012,1116,2012-1116,0.213091922
USC Upstate (ASUN),2012,0,2012-0,0.181058496
Dayton (Atlantic 10),2012,1173,2012-1173,0.181058496
Houston (C-USA),2012,1222,2012-1222,0.205020921
West Virginia (AAC),2012,1452,2012-1452,0.280726257
Rider (MAAC),2012,0,2012-0,0.181564246
TCU (Mountain West),2012,1395,2012-1395,0.181818182
Western Caro. (SoCon),2012,0,2012-0,0.181818182
Kansas St. (Big 12),2012,1243,2012-1243,0.215686275
San Diego St. (Mountain West),2012,1361,2012-1361,0.240896359
Xavier (Atlantic 10),2012,1462,2012-1462,0.234221599
Troy (Sun Belt),2012,1407,2012-1407,0.182328191
Mississippi St. (SEC),2012,1280,2012-1280,0.221598878
Quinnipiac (NEC),2012,0,2012-0,0.18258427
Miami (FL) (ACC),2012,1274,2012-1274,0.18258427
Sacred Heart (NEC),2012,0,2012-0,0.18258427
Colorado St. (Mountain West),2012,1161,2012-1161,0.223628692
High Point (Big South),2012,0,2012-0,0.182841069
Manhattan (MAAC),2012,1264,2012-1264,0.261603376
Central Ark. (Southland),2012,0,2012-0,0.183098592
Villanova (AAC),2012,1437,2012-1437,0.248587571
Marshall (C-USA),2012,1267,2012-1267,0.235875706
Ohio (MAC),2012,1325,2012-1325,0.200564972
N.C. Central (MEAC),2012,1300,2012-1300,0.231966054
Southeast Mo. St. (OVC),2012,0,2012-0,0.18387553
Col. of Charleston (SoCon),2012,1158,2012-1158,0.224893918
Kent St. (MAC),2012,1245,2012-1245,0.184135977
Montana (Big Sky),2012,1285,2012-1285,0.226628895
Chattanooga (SoCon),2012,1151,2012-1151,0.184135977
Nevada (WAC),2012,1305,2012-1305,0.21529745
Northwestern St. (Southland),2012,1322,2012-1322,0.184135977
